NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-01;Home;60 a 69;Si;0;32;3;0;0;0;0;0;0;0;0;0;12;2;0;2
CATALUNYA;GLOBAL;2021-10-01;Home;70 a 79;No;13;616;151;3;0;52;20;0;7;6;8;6;566;139;14;20
CATALUNYA;GLOBAL;2021-10-01;Home;70 a 79;Si;0;46;5;0;0;5;0;0;0;0;0;0;37;4;1;0
CATALUNYA;GLOBAL;2021-10-01;Home;80 o més;No;10;453;90;3;1;33;1;0;2;8;3;8;403;84;6;12
CATALUNYA;GLOBAL;2021-10-01;Home;80 o més;Si;1;88;10;1;0;3;0;0;1;0;1;0;68;9;3;4
CATALUNYA;GLOBAL;2021-09-30;Altres;N/A;--;10;1141;4;0;0;56;15;0;3;7;3;0;1133;4;130;128
CATALUNYA;GLOBAL;2021-09-30;Dona;0 a 9;No;22;394;551;0;0;2;0;0;16;6;18;7;363;500;0;0
CATALUNYA;GLOBAL;2021-09-30;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-30;Dona;10 a 19;No;15;569;916;0;0;0;0;0;10;5;10;5;493;789;736;2147
CATALUNYA;GLOBAL;2021-09-30;Dona;10 a 19;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
CATALUNYA;GLOBAL;2021-09-30;Dona;20 a 29;No;15;1234;634;0;0;4;0;0;7;8;13;7;899;539;682;787
CATALUNYA;GLOBAL;2021-09-30;Dona;20 a 29;Si;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;1
CATALUNYA;GLOBAL;2021-09-30;Dona;30 a 39;No;29;1492;635;0;1;7;3;0;14;15;16;16;1142;529;520;880
CATALUNYA;GLOBAL;2021-09-30;Dona;30 a 39;Si;0;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0
CATALUNYA;GLOBAL;2021-09-30;Dona;40 a 49;No;34;1985;593;1;0;13;7;0;19;15;20;12;1526;510;286;391
CATALUNYA;GLOBAL;2021-09-30;Dona;40 a 49;Si;1;11;0;0;0;1;0;0;1;0;1;0;9;0;1;0
CATALUNYA;GLOBAL;2021-09-30;Dona;50 a 59;No;26;1754;394;1;0;19;4;0;11;15;15;15;1343;343;141;152
CATALUNYA;GLOBAL;2021-09-30;Dona;50 a 59;Si;0;17;1;0;0;0;0;0;0;0;0;0;13;1;0;0
CATALUNYA;GLOBAL;2021-09-30;Dona;60 a 69;No;15;880;276;2;0;33;10;1;8;7;9;5;722;253;94;127
CATALUNYA;GLOBAL;2021-09-30;Dona;60 a 69;Si;0;16;2;0;0;0;0;0;0;0;0;0;11;2;0;2
CATALUNYA;GLOBAL;2021-09-30;Dona;70 a 79;No;17;431;182;3;1;17;4;0;9;8;14;8;397;164;30;30
CATALUNYA;GLOBAL;2021-09-30;Dona;70 a 79;Si;0;35;7;0;0;1;0;0;0;0;0;0;27;6;3;4
CATALUNYA;GLOBAL;2021-09-30;Dona;80 o més;No;7;516;104;3;0;26;0;0;5;2;9;1;473;96;12;24
CATALUNYA;GLOBAL;2021-09-30;Dona;80 o més;Si;0;232;40;1;0;10;0;0;0;0;0;1;133;29;5;6
CATALUNYA;GLOBAL;2021-09-30;Home;0 a 9;No;29;580;600;0;0;0;0;0;22;7;21;6;543;560;1;0
CATALUNYA;GLOBAL;2021-09-30;Home;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
